name	dataset	caption	audio_path	mel_path	duration
0100	WavText5K	Birds singing, drive away, fly.	/home/tiger/nfs/data/old_data/WavText5K/audios/0100.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/WavText5K/audios/0100_mel.npy	54.3548125
0740	WavText5K	Heavy rain and thunderstorms.	/home/tiger/nfs/data/old_data/WavText5K/audios/0740.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/WavText5K/audios/0740_mel.npy	157.94927083333334
0477	WavText5K	Wilhelm scream	/home/tiger/nfs/data/old_data/WavText5K/audios/0477.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/WavText5K/audios/0477_mel.npy	1.1168480725623582
0595	WavText5K	Wind	/home/tiger/nfs/data/old_data/WavText5K/audios/0595.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/WavText5K/audios/0595_mel.npy	89.42760416666667
0267	WavText5K	Sea waves at medium volume and a few cries of a Sandwich Tern. Swirling and dull roar of the sea beyond.	/home/tiger/nfs/data/old_data/WavText5K/audios/0267.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/WavText5K/audios/0267_mel.npy	57.56190476190476
0218	WavText5K	Beating heart (x10). There is a slight background noise	/home/tiger/nfs/data/old_data/WavText5K/audios/0218.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/WavText5K/audios/0218_mel.npy	8.52780045351474
0999	WavText5K	Birds waking	/home/tiger/nfs/data/old_data/WavText5K/audios/0999.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/WavText5K/audios/0999_mel.npy	245.245125
0266	WavText5K	Sea: moderate waves, swirls, dull roar of the sea beyond.	/home/tiger/nfs/data/old_data/WavText5K/audios/0266.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/WavText5K/audios/0266_mel.npy	57.84054421768708
2363	WavText5K	Several people applauding indoors.	/home/tiger/nfs/data/old_data/WavText5K/audios/2363.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/WavText5K/audios/2363_mel.npy	7.2
1111	WavText5K	The same note as the Apple ringtone when receiving a message on an iphone.	/home/tiger/nfs/data/old_data/WavText5K/audios/1111.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/WavText5K/audios/1111_mel.npy	6.342645833333333
0917	WavText5K	A minute of silence for the victims.	/home/tiger/nfs/data/old_data/WavText5K/audios/0917.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/WavText5K/audios/0917_mel.npy	60.0
1318	WavText5K	Many quick steps of shoes on concrete.	/home/tiger/nfs/data/old_data/WavText5K/audios/1318.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/WavText5K/audios/1318_mel.npy	61.54241666666667
0189	WavText5K	Starting a car and start thereof. Car: Citroen Saxo 1.1	/home/tiger/nfs/data/old_data/WavText5K/audios/0189.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/WavText5K/audios/0189_mel.npy	24.35560090702948
0097	WavText5K	Countryside ambience Wind in the trees, insects, birds. Some wind noise in mic.	/home/tiger/nfs/data/old_data/WavText5K/audios/0097.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/WavText5K/audios/0097_mel.npy	111.46964583333332
0137	WavText5K	Footsteps in dry leaves.	/home/tiger/nfs/data/old_data/WavText5K/audios/0137.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/WavText5K/audios/0137_mel.npy	63.59809523809524
2368	WavText5K	Squealing of 4 car tires.	/home/tiger/nfs/data/old_data/WavText5K/audios/2368.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/WavText5K/audios/2368_mel.npy	2.1523125
